rank,Country,worldPercentage,growthRate,density,CCA3,Capital,Continent,2023 Population,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²)
156,Estonia,0.01644490612572663,-0.0025,30.9419,EST,Tallinn,Europe,1322765.0,1326062.0,1329444.0,1314657.0,1331535.0,1396877.0,1570674.0,1476983.0,1361999.0,45227.0
157,Mauritius,0.016168811373264827,0.0008,640.6685,MUS,Port Louis,Africa,1300557.0,1299469.0,1297828.0,1293153.0,1283330.0,1215930.0,1090290.0,954865.0,830115.0,2040.0
158,Cyprus,0.015666313453607333,0.0069,136.3786,CYP,Nicosia,Europe,1260138.0,1251488.0,1237537.0,1187280.0,1129686.0,948237.0,788500.0,679327.0,640804.0,9251.0
159,Eswatini,0.015053206068322469,0.0076,70.3966,SWZ,Mbabane,Africa,1210822.0,0.0,1180655.0,1133936.0,1099920.0,1030496.0,854011.0,598564.0,442865.0,17364.0
160,Djibouti,0.01412865912774579,0.0139,49.0274,DJI,Djibouti,Africa,1136455.0,1120849.0,1090156.0,1006259.0,919199.0,742033.0,577173.0,324121.0,144379.0,23200.0
161,Reunion,0.012205904340237233,0.008,390.8424,REU,Saint-Denis,Africa,981796.0,974052.0,957822.0,922495.0,890130.0,785424.0,658992.0,551674.0,473925.0,2511.0
162,Fiji,0.011641220453729327,0.0071,51.2521,FJI,Suva,Oceania,936375.0,929766.0,920422.0,917200.0,905169.0,832509.0,780430.0,644582.0,527634.0,18272.0
163,Comoros,0.010593184267106039,0.0183,457.8587,COM,Moroni,Africa,852075.0,836774.0,806166.0,730216.0,656024.0,536758.0,431119.0,328328.0,242351.0,1862.0
164,Guyana,0.0101177637236581,0.0063,4.1343,GUY,Georgetown,South America,813834.0,808726.0,797202.0,755031.0,747932.0,759051.0,747116.0,778176.0,705261.0,214969.0
165,Bhutan,0.009789428780731397,0.0064,20.6456,BTN,Thimphu,Asia,787424.0,782455.0,772506.0,743274.0,705516.0,587207.0,558442.0,415257.0,298894.0,38394.0
166,Solomon Islands,0.009205114418082588,0.0223,26.4532,SLB,Honiara,Oceania,740424.0,724273.0,691191.0,612660.0,540394.0,429978.0,324171.0,233668.0,172833.0,28896.0
167,Macau,0.008754135620102044,0.0129,21402.7052,MAC,Concelho de Macau,Asia,704149.0,695168.0,676283.0,615239.0,557297.0,431896.0,350227.0,245332.0,247284.0,30.0
168,Luxembourg,0.008140220140485857,0.0111,254.3282,LUX,Luxembourg,Europe,654768.0,647599.0,630399.0,569408.0,507070.0,435628.0,381267.0,363741.0,339342.0,2586.0
